DATE;DESCRIPTION;VALUE
08/06/2016;PURCHASE CARD 1234XXXXXXXX5678 COFFEE SHOP;-2.00
08/06/2016;PURCHASE CARD 1234XXXXXXXX5678 COFFEE SHOP;-2.80
08/06/2016;PURCHASE CARD 1234XXXXXXXX5678 MARKET JOGESHWAR ;-8.34
08/06/2016;PURCHASE CARD 1234XXXXXXXX5678 MARKET JOGESHWAR ;-8.34
09/06/2016;ATM 1234XXXXXXXX5678 01.02;-60.00
09/06/2016;COMMISSIONS;-2.00
09/06/2016;PURCHASE CARD 1234XXXXXXXX5678 INTERNET HOSTING COMPANY;-24.19
10/06/2016;PURCHASE CARD 1234XXXXXXXX5678 AMAZON;-18.52
10/06/2016;PURCHASE CARD 1234XXXXXXXX5678 MERCADONA ;-29.33
13/06/2016;PHONE COMPANY;-82.43
13/06/2016;PURCHASE CARD 1234XXXXXXXX5678 GAS STATION;-34.44
13/06/2016;PURCHASE CARD 1234XXXXXXXX5678 MARKET JOGESHWAR ;-77.84
13/06/2016;PURCHASE CARD 1234XXXXXXXX5678 MERCADONA ;-17.38
13/06/2016;PURCHASE CARD 1234XXXXXXXX5678 MERCADONA ;-11.60
13/06/2016;TRANSFER;5,506.20
14/06/2016;PURCHASE CARD 1234XXXXXXXX5678 COFFEE SHOP;-8.00
14/06/2016;PURCHASE CARD 1234XXXXXXXX5678 UDEMYCOM;-40.00
14/06/2016;REFUND 1234XXXXXXXX5678 10.06 AMAZON;18.52
15/06/2016;PURCHASE CARD 1234XXXXXXXX5678 11.06 HIGHWAY COMPANY;-3.35
15/06/2016;PURCHASE CARD 1234XXXXXXXX5678 MARKET JOGESHWAR ;-3.07
16/06/2016;DEBIT PAYMENTS EULEN;-20.00
16/06/2016;TRANSFER;-5,500.00
17/06/2016;PURCHASE CARD 1234XXXXXXXX5678 AMAZON;-15.63
17/06/2016;PURCHASE CARD 1234XXXXXXXX5678 COFFEE SHOP;-5.60
17/06/2016;PURCHASE CARD 1234XXXXXXXX5678 MARKET;-8.07
20/06/2016;ATM 1234XXXXXXXX5678 01.02;-50.00
20/06/2016;ATM 1234XXXXXXXX5678 01.02;-40.00
20/06/2016;PURCHASE CARD 1234XXXXXXXX5678 03.07 CLOTHES COMPANY;-61.85
20/06/2016;PURCHASE CARD 1234XXXXXXXX5678 03.07 CLOTHES COMPANY;-86.80
20/06/2016;PURCHASE CARD 1234XXXXXXXX5678 GAS STATION;-34.39
20/06/2016;PURCHASE CARD 1234XXXXXXXX5678 MERCADONA ;-23.34
20/06/2016;PURCHASE CARD 1234XXXXXXXX5678 RESTAURANT MARIN;-21.25
20/06/2016;PURCHASE CARD 1234XXXXXXXX5678 VORWERK;-2.80
21/06/2016;ATM 1234XXXXXXXX5678 01.02;-40.00
21/06/2016;SCHOOL CANTEEN;-62.25
21/06/2016;SCHOOL CANTEEN;-62.25
21/06/2016;TRANSFER;755.00
22/06/2016;ATM 1234XXXXXXXX5678 01.02;-50.00
22/06/2016;PURCHASE CARD 1234XXXXXXXX5678 MERCADONA ;-56.95
23/06/2016;PURCHASE CARD 1234XXXXXXXX5678 PHARMACY;-6.79
24/06/2016;PURCHASE CARD 1234XXXXXXXX5678 MERCADONA ;-14.27
27/06/2016;ATM 1234XXXXXXXX5678 01.02;-40.00
27/06/2016;ATM 1234XXXXXXXX5678 01.02;-40.00
27/06/2016;DEBIT PAYMENTS FINANCIAL AGENT;-27.83
27/06/2016;ELECTRIC COMPANY ;-34.99
27/06/2016;PURCHASE CARD 1234XXXXXXXX5678 BAZAAR;-9.30
27/06/2016;PURCHASE CARD 1234XXXXXXXX5678 GAS STATION;-59.34
27/06/2016;PURCHASE CARD 1234XXXXXXXX5678 MARKET;-16.10
27/06/2016;PURCHASE CARD 1234XXXXXXXX5678 RESTAURANT JOGESHWAR;-9.10
27/06/2016;PURCHASE CARD 1234XXXXXXXX5678 RESTAURANT MARIN;-14.00
28/06/2016;PURCHASE CARD 1234XXXXXXXX5678 COFFEE SHOP;-9.00
29/06/2016;PURCHASE CARD 1234XXXXXXXX5678 GAS STATION;-37.28
29/06/2016;PURCHASE CARD 1234XXXXXXXX5678 MERCADONA ;-43.51
30/06/2016;INSURANCE;-267.03
30/06/2016;PURCHASE CARD 1234XXXXXXXX5678 NETFLIX;-7.99
30/06/2016;PURCHASE CARD 1234XXXXXXXX5678 RESTAURANT JOGESHWAR;-40.00
30/06/2016;PURCHASE CARD 1234XXXXXXXX5678 RESTAURANT JOGESHWAR;-78.70
30/06/2016;PURCHASE CARD 1234XXXXXXXX5678 VUELING;-354.90
30/06/2016;TRANSFER;40.00
30/06/2016;TRANSFER;2,600.00
01/07/2016;ATM 1234XXXXXXXX5678 01.02;-40.00
01/07/2016;DEBIT PAYMENTS INSURANCE COMPANY;-32.96
01/07/2016;PURCHASE CARD 1234XXXXXXXX5678 CLOTHES SHOP;-16.00
01/07/2016;PURCHASE CARD 1234XXXXXXXX5678 CLOTHES SHOP;-51.97
01/07/2016;PURCHASE CARD 1234XXXXXXXX5678 CLOTHES SHOP;-5.99
01/07/2016;PURCHASE CARD 1234XXXXXXXX5678 CLOTHES SHOP;-12.99
01/07/2016;PURCHASE CARD 1234XXXXXXXX5678 MANGO ;-25.98
01/07/2016;PURCHASE CARD 1234XXXXXXXX5678 MANGO ;-69.96
01/07/2016;PURCHASE CARD 1234XXXXXXXX5678 MERCADONA ;-37.74
01/07/2016;PURCHASE CARD 1234XXXXXXXX5678 TOY SHOP;-22.24
04/07/2016;ATM 1234XXXXXXXX5678 01.02;-40.00
04/07/2016;ATM 1234XXXXXXXX5678 01.02;-40.00
04/07/2016;COMMISSIONS;-1.87
04/07/2016;PAYROLL;515.10
04/07/2016;PURCHASE CARD 1234XXXXXXXX5678 03.07 CLOTHES COMPANY;-15.95
04/07/2016;PURCHASE CARD 1234XXXXXXXX5678 AMAZON;-12.95
04/07/2016;PURCHASE CARD 1234XXXXXXXX5678 CLOTHES SHOP;-21.98
04/07/2016;PURCHASE CARD 1234XXXXXXXX5678 DECATHLON ;-23.99
04/07/2016;PURCHASE CARD 1234XXXXXXXX5678 DECATHLON ;-19.99
04/07/2016;PURCHASE CARD 1234XXXXXXXX5678 MANGO ;-39.98
04/07/2016;PURCHASE CARD 1234XXXXXXXX5678 MERCADONA ;-38.68
04/07/2016;PURCHASE CARD 1234XXXXXXXX5678 MERCADONA ;-16.21
04/07/2016;PURCHASE CARD 1234XXXXXXXX5678 TOY SHOP;-6.95
04/07/2016;REFUND TAR.1234XXXXXXXX5678 CLOTHES SHOP;14.99
05/07/2016;PHONE COMPANY;-14.00
06/07/2016;ELECTRIC COMPANY ;-36.17
06/07/2016;INSURANCE;-9.29
06/07/2016;INTEREST SETTLEMENT;4.01
06/07/2016;PURCHASE CARD 1234XXXXXXXX5678 AMAZON;-162.45
06/07/2016;PURCHASE CARD 1234XXXXXXXX5678 GAS STATION;-41.46
06/07/2016;PURCHASE CARD 1234XXXXXXXX5678 INSURANCE RENT A CAR;-48.30
06/07/2016;TRANSFER;-227.50
07/07/2016;ATM 1234XXXXXXXX5678 01.02;-60.00
07/07/2016;PURCHASE CARD 1234XXXXXXXX5678 01.07 HIGHWAY COMPANY;-3.90
07/07/2016;PURCHASE CARD 1234XXXXXXXX5678 RESTAURANT JOGESHWAR;-30.00
08/07/2016;ATM 1234XXXXXXXX5678 01.02;-200.00
08/07/2016;PURCHASE CARD 1234XXXXXXXX5678 CLOTHES SHOP;-5.99
08/07/2016;PURCHASE CARD 1234XXXXXXXX5678 CLOTHES SHOP;-35.96
08/07/2016;PURCHASE CARD 1234XXXXXXXX5678 GAS STATION;-49.63
11/07/2016;ATM 1234XXXXXXXX5678 01.02;-60.00
11/07/2016;ATM 1234XXXXXXXX5678 01.02;-40.00
11/07/2016;ATM 1234XXXXXXXX5678 01.02;-550.00
11/07/2016;COMMISSIONS;-1.50
11/07/2016;PURCHASE CARD 1234XXXXXXXX5678 CLOTHES SHOP;-72.00
11/07/2016;PURCHASE CARD 1234XXXXXXXX5678 CLOTHES SHOP;-7.99
11/07/2016;PURCHASE CARD 1234XXXXXXXX5678 GAS STATION;-2.99
11/07/2016;PURCHASE CARD 1234XXXXXXXX5678 GAS STATION;-55.13
11/07/2016;PURCHASE CARD 1234XXXXXXXX5678 LEFTIES;-30.00
11/07/2016;PURCHASE CARD 1234XXXXXXXX5678 MERCADONA ;-33.90
12/07/2016;INCOME;100.00
12/07/2016;INCOME;550.00
12/07/2016;TRANSFER;-250.00
13/07/2016;COMMUNITY OF OWNERS;-63.65
13/07/2016;PHONE COMPANY;-76.04
13/07/2016;REFUND 1234XXXXXXXX5678 11.07 CLOTHES SHOP;15.99
14/07/2016;PURCHASE CARD 1234XXXXXXXX5678 08.07 HIGHWAY COMPANY;-8.85
14/07/2016;PURCHASE CARD 1234XXXXXXXX5678 10.07 HIGHWAY COMPANY;-13.60
14/07/2016;PURCHASE CARD 1234XXXXXXXX5678 11.07 INTERNET HOSTING COMPANY;-24.19
14/07/2016;PURCHASE CARD 1234XXXXXXXX5678 ALE-HOP;-8.00
14/07/2016;PURCHASE CARD 1234XXXXXXXX5678 PETROPRIX ;-34.84
14/07/2016;TRANSFER;-5,500.00
14/07/2016;TRANSFER;5,506.20
15/07/2016;PURCHASE CARD 1234XXXXXXXX5678 BAZAAR;-9.99
15/07/2016;PURCHASE CARD 1234XXXXXXXX5678 DECATHLON ;-83.90
15/07/2016;PURCHASE CARD 1234XXXXXXXX5678 PHARMACY;-66.72
15/07/2016;PURCHASE CARD 1234XXXXXXXX5678 TOY SHOP;-6.99
18/07/2016;ATM 1234XXXXXXXX5678 01.02;-60.00
18/07/2016;DEBIT PAYMENTS WATER COMPANY;-55.53
18/07/2016;PURCHASE CARD 1234XXXXXXXX5678 MARKET;-8.92
18/07/2016;PURCHASE CARD 1234XXXXXXXX5678 MARKET MAIN;-10.05
18/07/2016;PURCHASE CARD 1234XXXXXXXX5678 MERCADONA ;-114.36
18/07/2016;PURCHASE CARD 1234XXXXXXXX5678 NESPRESSO;-75.50
18/07/2016;PURCHASE CARD 1234XXXXXXXX5678 PHARMACY;-13.17
18/07/2016;PURCHASE CARD 1234XXXXXXXX5678 PRIMARK;-25.50
18/07/2016;TRANSFER;2,678.00
19/07/2016;PURCHASE CARD 1234XXXXXXXX5678 GAS STATION;-24.17
19/07/2016;PURCHASE CARD 1234XXXXXXXX5678 MERCADONA ;-28.54
20/07/2016;ATM 1234XXXXXXXX5678 01.02;-200.00
20/07/2016;PURCHASE CARD 1234XXXXXXXX5678 17.07 HIGHWAY COMPANY;-3.35
20/07/2016;REFUND 1234XXXXXXXX5678 17.07 HIGHWAY COMPANY;0.50
20/07/2016;TAXES;-2,678.43
21/07/2016;PURCHASE CARD 1234XXXXXXXX5678 18.07 HIGHWAY COMPANY;-3.35
21/07/2016;PURCHASE CARD 1234XXXXXXXX5678 MERCADONA ;-33.23
21/07/2016;REFUND 1234XXXXXXXX5678 18.07 HIGHWAY COMPANY;0.50
22/07/2016;PURCHASE CARD 1234XXXXXXXX5678 BOOKSHOP;-7.50
22/07/2016;PURCHASE CARD 1234XXXXXXXX5678 COFFEE SHOP;-2.80
25/07/2016;ATM 1234XXXXXXXX5678 01.02;-60.00
25/07/2016;PURCHASE CARD 1234XXXXXXXX5678 GAS STATION;-45.52
25/07/2016;PURCHASE CARD 1234XXXXXXXX5678 GAS STATION;-58.07
25/07/2016;PURCHASE CARD 1234XXXXXXXX5678 MERCADONA ;-19.95
25/07/2016;PURCHASE CARD 1234XXXXXXXX5678 RESTAURANT JOGESHWAR;-30.00
26/07/2016;PURCHASE CARD 1234XXXXXXXX5678 MERCADONA ;-14.96
27/07/2016;HIDRAQUA ;-67.95
27/07/2016;PURCHASE CARD 1234XXXXXXXX5678 24.07 HIGHWAY COMPANY;-3.35
27/07/2016;PURCHASE CARD 1234XXXXXXXX5678 MANGO ;-14.99
27/07/2016;PURCHASE CARD 1234XXXXXXXX5678 MARKET JOGESHWAR ;-39.75
27/07/2016;PURCHASE CARD 1234XXXXXXXX5678 MERCADONA ;-1.00
27/07/2016;REFUND 1234XXXXXXXX5678 24.07 HIGHWAY COMPANY;0.50
27/07/2016;TRANSFER;150.00
28/07/2016;ATM 1234XXXXXXXX5678 01.02;-20.00
28/07/2016;DEBIT PAYMENTS FINANCIAL AGENT;-27.83
28/07/2016;ELECTRIC COMPANY ;-53.20
28/07/2016;PURCHASE CARD 1234XXXXXXXX5678 MERCADONA ;-18.39
28/07/2016;PURCHASE CARD 1234XXXXXXXX5678 PHARMACY;-11.25
29/07/2016;ATM 1234XXXXXXXX5678 01.02;-20.00
29/07/2016;INSURANCE;-267.03
29/07/2016;PURCHASE CARD 1234XXXXXXXX5678 RESTAURANT JOGESHWAR;-10.00
29/07/2016;TRANSFER;15.00
29/07/2016;TRANSFER;2,750.00
01/08/2016;ATM 1234XXXXXXXX5678 01.02;-120.00
01/08/2016;ATM 1234XXXXXXXX5678 01.02;-70.00
01/08/2016;COMMISSIONS;-1.50
01/08/2016;COMMUNITY OF OWNERS;-63.65
01/08/2016;DEBIT PAYMENTS INSURANCE COMPANY;-32.96
01/08/2016;PURCHASE CARD 1234XXXXXXXX5678 GAS STATION;-38.20
01/08/2016;PURCHASE CARD 1234XXXXXXXX5678 MERCADONA ;-15.77
01/08/2016;PURCHASE CARD 1234XXXXXXXX5678 NETFLIX;-9.99
01/08/2016;TRANSFER;15.00
01/08/2016;TRANSFER;15.00
01/08/2016;TRANSFER;15.00
02/08/2016;PURCHASE CARD 1234XXXXXXXX5678 AMAZON;-40.15
02/08/2016;PURCHASE CARD 1234XXXXXXXX5678 AMAZON;-11.37
02/08/2016;PURCHASE CARD 1234XXXXXXXX5678 AMAZON;-4.99
02/08/2016;PURCHASE CARD 1234XXXXXXXX5678 MERCADONA ;-11.58
03/08/2016;PURCHASE CARD 1234XXXXXXXX5678 AMAZON;-9.99
03/08/2016;PURCHASE CARD 1234XXXXXXXX5678 AMAZON;-23.48
04/08/2016;PHONE COMPANY;-14.00
04/08/2016;PURCHASE CARD 1234XXXXXXXX5678 RESTAURANT MARIN;-11.95
04/08/2016;PURCHASE CARD 1234XXXXXXXX5678 SHOPPING CENTER;-16.00
05/08/2016;HOME LOAN;-19.27
05/08/2016;PURCHASE CARD 1234XXXXXXXX5678 02.08 HIGHWAY COMPANY;-3.35
05/08/2016;PURCHASE CARD 1234XXXXXXXX5678 02.08 HIGHWAY COMPANY;-3.35
05/08/2016;PURCHASE CARD 1234XXXXXXXX5678 BAZAAR;-11.70
05/08/2016;PURCHASE CARD 1234XXXXXXXX5678 CLOTHES SHOP;-23.96
05/08/2016;PURCHASE CARD 1234XXXXXXXX5678 MARKET;-31.65
05/08/2016;PURCHASE CARD 1234XXXXXXXX5678 PETROPRIX ;-5.00
05/08/2016;PURCHASE CARD 1234XXXXXXXX5678 PETROPRIX ;-4.28
08/08/2016;INSURANCE;-9.29
08/08/2016;INTEREST SETTLEMENT;4.36
08/08/2016;PURCHASE CARD 1234XXXXXXXX5678 COFFEE SHOP;-5.60
08/08/2016;PURCHASE CARD 1234XXXXXXXX5678 MARKET;-24.90
08/08/2016;PURCHASE CARD 1234XXXXXXXX5678 MERCADONA ;-34.89
09/08/2016;ATM 1234XXXXXXXX5678 01.02;-80.00
09/08/2016;PURCHASE CARD 1234XXXXXXXX5678 CLOTHES SHOP;-26.85
09/08/2016;PURCHASE CARD 1234XXXXXXXX5678 GAS STATION;-42.00
09/08/2016;PURCHASE CARD 1234XXXXXXXX5678 INTERNET HOSTING COMPANY;-24.19
09/08/2016;PURCHASE CARD 1234XXXXXXXX5678 MARKET JOGESHWAR ;-222.09
09/08/2016;PURCHASE CARD 1234XXXXXXXX5678 PHARMACY;-24.99
09/08/2016;TRANSFER;20.00
10/08/2016;PURCHASE CARD 1234XXXXXXXX5678 MERCADONA ;-10.82
11/08/2016;ATM 1234XXXXXXXX5678 01.02;-50.00
11/08/2016;PURCHASE CARD 1234XXXXXXXX5678 RESTAURANT LOPEZ;-14.48
11/08/2016;PURCHASE CARD 1234XXXXXXXX5678 SCRAPY;-36.30
11/08/2016;TRANSFER;-5,500.00
11/08/2016;TRANSFER;5,506.20
12/08/2016;PHONE COMPANY;-93.34
12/08/2016;PURCHASE CARD 1234XXXXXXXX5678 MARKET;-21.95
12/08/2016;PURCHASE CARD 1234XXXXXXXX5678 MARKET JOGESHWAR ;-22.85
12/08/2016;PURCHASE CARD 1234XXXXXXXX5678 PETROPRIX ;-8.00
12/08/2016;PURCHASE CARD 1234XXXXXXXX5678 RESTAURANT MARIN;-21.90
12/08/2016;PURCHASE CARD 1234XXXXXXXX5678 SOLA MOVIL;-209.78
12/08/2016;PURCHASE CARD 1234XXXXXXXX5678 TIGER STORE ;-11.00
12/08/2016;PURCHASE CARD 1234XXXXXXXX5678 TOY SHOP;-9.99
16/08/2016;ATM 1234XXXXXXXX5678 01.02;-40.00
16/08/2016;ELECTRIC COMPANY ;-43.04
16/08/2016;PURCHASE CARD 1234XXXXXXXX5678 ALDI;-31.98
16/08/2016;PURCHASE CARD 1234XXXXXXXX5678 ALIEXPRESS;-38.89
16/08/2016;PURCHASE CARD 1234XXXXXXXX5678 MARKET JOGESHWAR ;-71.31
16/08/2016;PURCHASE CARD 1234XXXXXXXX5678 MARKET JOGESHWAR ;-57.82
16/08/2016;PURCHASE CARD 1234XXXXXXXX5678 PHARMACY;-48.82
16/08/2016;PURCHASE CARD 1234XXXXXXXX5678 PHARMACY;-424.60
16/08/2016;PURCHASE CARD 1234XXXXXXXX5678 SCRAPY;-14.43
16/08/2016;PURCHASE CARD 1234XXXXXXXX5678 TIGER STORE ;-8.00
16/08/2016;REFUND TAR.1234XXXXXXXX5678 13.08 MARKET JOGESHWAR ;18.90
16/08/2016;REFUND TAR.1234XXXXXXXX5678 15.08 MARKET JOGESHWAR ;3.99
16/08/2016;TRANSFER;40.00
16/08/2016;TRANSFER;500.00
17/08/2016;PURCHASE CARD 1234XXXXXXXX5678 SOLA MOVIL;-473.07
18/08/2016;PURCHASE CARD 1234XXXXXXXX5678 GAS STATION;-44.42
18/08/2016;PURCHASE CARD 1234XXXXXXXX5678 MARKET;-20.15
18/08/2016;PURCHASE CARD 1234XXXXXXXX5678 RESTAURANT JOGESHWAR;-10.00
19/08/2016;PURCHASE CARD 1234XXXXXXXX5678 COFFEE SHOP;-6.00
19/08/2016;PURCHASE CARD 1234XXXXXXXX5678 COFFEE SHOP;-5.60
19/08/2016;PURCHASE CARD 1234XXXXXXXX5678 MARKET;-26.85
22/08/2016;ATM 1234XXXXXXXX5678 01.02;-60.00
22/08/2016;ATM 1234XXXXXXXX5678 01.02;-40.00
22/08/2016;ATM 1234XXXXXXXX5678 01.02;-40.00
22/08/2016;COMMISSIONS;-1.87
22/08/2016;PURCHASE CARD 1234XXXXXXXX5678 CLOTHES SHOP;-5.79
22/08/2016;TRANSFER;400.00
22/08/2016;TRANSFER;450.00
23/08/2016;PURCHASE CARD 1234XXXXXXXX5678 BAZAAR;-27.50
24/08/2016;PURCHASE CARD 1234XXXXXXXX5678 03.07 CLOTHES COMPANY;-13.80
24/08/2016;PURCHASE CARD 1234XXXXXXXX5678 CLOTHES SHOP;-119.91
24/08/2016;PURCHASE CARD 1234XXXXXXXX5678 CLOTHES SHOP;-19.90
24/08/2016;PURCHASE CARD 1234XXXXXXXX5678 CLOTHES SHOP;-7.00
24/08/2016;PURCHASE CARD 1234XXXXXXXX5678 CLOTHES SHOP;-6.99
24/08/2016;PURCHASE CARD 1234XXXXXXXX5678 COFFEE SHOP;-6.00
24/08/2016;PURCHASE CARD 1234XXXXXXXX5678 MERCADONA ;-8.68
24/08/2016;PURCHASE CARD 1234XXXXXXXX5678 SHOPPING CENTER;-236.00
24/08/2016;PURCHASE CARD 1234XXXXXXXX5678 SHOPPING CENTER;-67.96
25/08/2016;PURCHASE CARD 1234XXXXXXXX5678 COFFEE SHOP;-2.80
25/08/2016;PURCHASE CARD 1234XXXXXXXX5678 DECATHLON ;-56.22
25/08/2016;PURCHASE CARD 1234XXXXXXXX5678 GAS STATION;-41.06
25/08/2016;PURCHASE CARD 1234XXXXXXXX5678 HEALTH;-33.45
25/08/2016;PURCHASE CARD 1234XXXXXXXX5678 PRIMARK;-78.50
25/08/2016;PURCHASE CARD 1234XXXXXXXX5678 RENT A CAR;-274.17
25/08/2016;PURCHASE CARD 1234XXXXXXXX5678 SHOPPING CENTER;-20.98
25/08/2016;TRANSFER;3,000.00
26/08/2016;ATM 1234XXXXXXXX5678 01.02;-50.00
26/08/2016;PURCHASE CARD 1234XXXXXXXX5678 COFFEE SHOP;-3.40
